batch_start,batch_end,records,latency_seconds,throughput_records_per_second,detected_attacks
125000,126000,1000,0.041478872299194336,24108.659290127893,999
126000,127000,1000,0.04059433937072754,24633.976448477373,1000
127000,128000,1000,0.04042172431945801,24739.17223562442,999
128000,129000,1000,0.04138970375061035,24160.598153236446,999
129000,130000,1000,0.04102969169616699,24372.593569681158,1000
130000,131000,1000,0.05779242515563965,17303.30570670671,1000
131000,132000,1000,0.04249286651611328,23533.36176133941,998
132000,133000,1000,0.04702615737915039,21264.76105494773,1000
133000,134000,1000,0.040670156478881836,24588.05390924066,997
134000,135000,1000,0.04370856285095215,22878.81217714794,1000
135000,136000,1000,0.04695487022399902,21297.045337991196,1000
136000,137000,1000,0.044396162033081055,22524.46955335614,1000
137000,138000,1000,0.04503440856933594,22205.243318792087,998
138000,139000,1000,0.040903329849243164,24447.887340362904,997
139000,140000,1000,0.0407414436340332,24545.031074074508,998
140000,141000,1000,0.04026985168457031,24832.472884005114,999
141000,142000,1000,0.042285919189453125,23648.53405502932,1000
142000,143000,1000,0.0434720516204834,23003.285161927222,999
143000,144000,1000,0.04434776306152344,22549.051653692313,999
144000,145000,1000,0.041441917419433594,24130.15763433437,999
145000,146000,1000,0.04195451736450195,23835.335568562823,998
146000,147000,1000,0.043317317962646484,23085.455125876513,998
147000,148000,1000,0.04351043701171875,22982.991408030863,1000
148000,149000,1000,0.04866147041320801,20550.13939177172,997
149000,150000,1000,0.041381120681762695,24165.60942586351,1000
150000,151000,1000,0.04208183288574219,23763.22349635136,999
151000,152000,1000,0.040328264236450195,24796.504856664833,1000
152000,153000,1000,0.043805837631225586,22828.007728522058,1000
153000,154000,1000,0.058646440505981445,17051.333233054585,1000
154000,155000,1000,0.04110360145568848,24328.76839461488,999
155000,156000,1000,0.04614591598510742,21670.390080082667,1000
156000,157000,1000,0.041899919509887695,23866.394296151724,999
157000,158000,1000,0.04338860511779785,23047.525894991344,1000
158000,159000,1000,0.042215824127197266,23687.80002936758,1000
159000,160000,819,0.03437376022338867,23826.313870739523,819
